song_id,title,artist_genius_id,pseudonym,country,legal_status,period,release_date,compound,pos_prob,neg_prob,n_chunks
5466838,Пропорции уязвимости (6 раунд 17ib) (Proportions of vulnerability),23616,Noize MC,Литва,иноагент,before,2020-04-16,-0.22523653507232666,0.17779117822647095,0.4030277132987976,6
5389992,Плак-плак-плак (Live @ Мегаполис) (Plak-plak-plak (Live @ Megalopolis)),23616,Noize MC,Литва,иноагент,before,2020-03-14,-0.497586227953434,0.11716186255216599,0.6147480905056,4
5383544,Кошка + Фристайл (Cat + Freestyle),23616,Noize MC,Литва,иноагент,before,2020-03-14,-0.26928721368312836,0.24357092877229056,0.5128581424554189,3
5389997,Моё море + Фристайл (Live @ Даниловский паб) (My Sea + Freestyle (Live @ Danilovsky pub)),23616,Noize MC,Литва,иноагент,before,2020-03-13,0.20117287089427313,0.5302054931720098,0.32903262227773666,6
13558470,северная страна фристайл (north country freestyle),24422,Oxxxymiron,Великобритания,иноагент,after,2026-05-15,0.20000679418444633,0.515182364732027,0.3151755705475807,4
13380624,EXIT,24422,Oxxxymiron,Великобритания,иноагент,after,2026-04-10,-0.08670835693677266,0.17833555738131204,0.2650439143180847,3
13085661,Веган Блёвбургер (Instrumental) (Vegan Blewburger),24422,Oxxxymiron,Великобритания,иноагент,after,2026-02-06,0.0,0.18518048524856567,0.18518048524856567,1
13437838,ЛИРИЧЕСКАЯ (Snippet 19.04.2026)*,24422,Oxxxymiron,Великобритания,иноагент,after,2026-01-01,-0.6384314298629761,0.12052285671234131,0.7589542865753174,1
12842233,Как Мои Дела (How Am I Doing),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,-0.08892752975225449,0.2081102803349495,0.297037810087204,2
12842255,Русская Инородная Музыка (Russian Foreign Music),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,-0.6572892367839813,0.11423692107200623,0.7715261578559875,3
12842250,Банк (Bank),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,-0.783286452293396,0.07223784923553467,0.8555243015289307,3
12842244,Lost & Found,24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,-0.12664814790089926,0.22149282693862915,0.3481409748395284,3
12842251,Песнь Песней (Song of Songs),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,0.2687263935804367,0.4754744693636894,0.20674807578325272,2
12842260,Бог В Деталях (God In Details),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,0.24504774808883667,0.4966984987258911,0.25165075063705444,1
12842239,Приключения (Adventures),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,-0.1990631421407064,0.2121820698181788,0.4112452119588852,3
12842237,Vintage,24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,0.0,0.17080572247505188,0.17080572247505188,2
12711135,Фобия по наследству (Inherited phobia),24422,Oxxxymiron,Великобритания,иноагент,after,2025-11-20,-0.11640404351055622,0.2065615952014923,0.32296563871204853,8
12291712,кошке закрыли глаза (cat eyes were closed),24422,Oxxxymiron,Великобритания,иноагент,after,2025-08-15,-0.5660377144813538,0.14465409517288208,0.7106918096542358,1
11398466,Operation Payback 2,24422,Oxxxymiron,Великобритания,иноагент,after,2024-05-31,-0.5448188483715057,0.15172705054283142,0.6965458989143372,1
10393099,МИР ГОРИТ (WORLD IS BURNING),24422,Oxxxymiron,Великобритания,иноагент,after,2024-05-13,0.5952163934707642,0.7301442623138428,0.1349278688430786,1
9841661,Захизр (Zahizr),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,0.0,0.2299591302871704,0.2299591302871704,2
9817628,Семейный альбом (Family Album),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,-0.25947965681552887,0.1370466947555542,0.39652635157108307,2
9821224,Макдональдс (McDonald’s),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,-0.38704071938991547,0.2043197602033615,0.591360479593277,2
9833477,Соседи (Neighbours),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,-0.6529989540576935,0.11566701531410217,0.7686659693717957,2
9813307,2010-е кончились,24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,-0.8175202459096909,0.060826584696769714,0.8783468306064606,2
9841935,Табак два  (Tobacco two),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,0.0,0.16917285323143005,0.16917285323143005,1
9827048,Суп дня (Soup Of The Day),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,0.0,0.11366301774978638,0.11366301774978638,1
9824366,Всё сразу (All At Once),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-15,0.0,0.19520016014575958,0.19520016014575958,2
9837484,Заходи скорее (Come In Soon),24422,Oxxxymiron,Великобритания,иноагент,after,2023-12-14,0.0,0.10448770225048065,0.10448770225048065,2
9559826,Прекрасное Далёко (Beautiful Far Away),24422,Oxxxymiron,Великобритания,иноагент,after,2023-09-26,0.21306148171424866,0.3633430004119873,0.15028151869773865,2
9524586,1.Kla$ Pt. 2,24422,Oxxxymiron,Великобритания,иноагент,after,2023-09-15,-0.32821421325206757,0.18395154923200607,0.5121657624840736,2
9414207,1.Kla$,24422,Oxxxymiron,Великобритания,иноагент,after,2023-09-01,-0.907899022102356,0.030700325965881348,0.9385993480682373,1
9456037,"Я знаю, что делал прошлым летом (Dotley)",24422,Oxxxymiron,Великобритания,иноагент,after,2023-08-25,-0.2994793504476547,0.17498968541622162,0.47446903586387634,2
8638947,THE STORY OF ALISHER,24422,Oxxxymiron,Великобритания,иноагент,after,2022-12-13,-0.5058451990286509,0.12698895732561746,0.6328341563542684,3
8540246,Я УБИЛ МАРКА (I KILLED MARK),24422,Oxxxymiron,Великобритания,иноагент,after,2022-11-11,-0.6770032942295074,0.10766556859016418,0.7846688628196716,2
8508687,BASSLINE BUSINESS,24422,Oxxxymiron,Великобритания,иноагент,after,2022-10-28,-0.18731071054935455,0.2272297739982605,0.41454048454761505,2
8487722,НЛО (NLO),24422,Oxxxymiron,Великобритания,иноагент,after,2022-10-21,0.0,0.17603611946105957,0.17603611946105957,2
8467020,23 февраля (February 23),24422,Oxxxymiron,Великобритания,иноагент,after,2022-10-14,-0.16731420904397964,0.2847350239753723,0.45204923301935196,2
8426640,Сделано в России (Sdelano v Rossii),24422,Oxxxymiron,Великобритания,иноагент,after,2022-09-30,0.5494547784328461,0.6996365189552307,0.15018174052238464,1
8407847,ТАБАК (TOBACCO),24422,Oxxxymiron,Великобритания,иноагент,after,2022-09-23,0.0,0.20097625255584717,0.20097625255584717,1
7877349,Лукавый век (Sly Age)*,24422,Oxxxymiron,Великобритания,иноагент,after,2022-04-06,0.15832090377807617,0.40183062106370926,0.2435097172856331,2
7709791,Северная страна (North Country) [cvpellv remix],24422,Oxxxymiron,Великобритания,иноагент,after,2022-02-10,0.5260103742281595,0.6468989451726278,0.12088857094446818,3
7399069,Цунами (Tsunami),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-08,-0.07796495159467061,0.20549369851748148,0.2834586501121521,3
7447229,Окно в Париж (Window to Paris),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.46038031578063965,0.17987322807312012,0.6402535438537598,1
7447221,Нон-фикшн (Non-Fiction),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.3456045687198639,0.21813181042671204,0.5637363791465759,1
7447224,Улет (Fly Away),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.32165802518526715,0.17424465219179788,0.495902677377065,3
7447245,Тень (Shadow),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.0,0.236505888402462,0.236505888402462,2
7447236,Эминем (Eminem),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.0,0.16829794645309448,0.16829794645309448,1
7447254,Лифт (Elevator),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.44061610102653503,0.18646129965782166,0.6270774006843567,3
7447207,Хоп-механика (Hop Mechanics),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.0,0.10958901047706604,0.10958901047706604,1
7447219,Красота и Уродство (Beauty & Ugliness),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.0,0.15416575968265533,0.15416575968265533,2
7447240,Празднуй (Celebrate),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.3253665119409561,0.1867249384522438,0.5120914503931999,2
7447226,Чувствую (Feel),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.47954511642456055,0.17348496119181314,0.6530300776163737,3
7447225,Мы все умрем (All of Us Will Die),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.1734665334224701,0.42951343208551407,0.256046898663044,2
7447253,Пантеллерия (Pantelleria),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.0,0.083525151014328,0.083525151014328,2
7447222,Рашн Роуд Рейдж (Russian Road Rage),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.815274566411972,0.06157514452934265,0.8768497109413147,1
7447230,Партизанское радио (Guerrilla Radio),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,0.0,0.2085079550743103,0.2085079550743103,2
7447218,Агент (Agent),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.37438467144966125,0.20853844285011292,0.5829231142997742,1
7447247,Намешано (Mixed),24422,Oxxxymiron,Великобритания,иноагент,before,2021-12-01,-0.26069823900858563,0.21748592456181845,0.47818416357040405,3
7382772,Tabasco,24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,0.0,0.2570275217294693,0.2570275217294693,2
7382641,Reality,24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,0.0,0.11563146114349365,0.11563146114349365,1
7382586,Колесо (Wheel),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.576144814491272,0.14128506183624268,0.7174298763275146,1
7382742,Под дождём (In the rain),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.44684353470802307,0.10241112112998962,0.5492546558380127,2
7382775,Сказка о потерянном времени (A Tale of a Lost Time),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.17589272558689117,0.22656580805778503,0.4024585336446762,2
7382769,STRUGGLES,24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.5130747258663177,0.16230842471122742,0.6753831505775452,1
7382745,Пора возвращаться домой (Time to Go Home),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,0.0,0.0837426483631134,0.0837426483631134,1
7382771,Ветер Перемен (The Wind of Change),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,0.0,0.11295647919178009,0.11295647919178009,2
7382663,Бездыханным (Breathless),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.6215469241142273,0.12615102529525757,0.7476979494094849,1
4542346,Лондонград (Londongrad) [Director’s Cut],24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.10337277253468831,0.17897633711496988,0.2823491096496582,3
7382750,Дежавю (Deja Vu),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,-0.5887128412723541,0.13709571957588196,0.7258085608482361,2
7382650,Безумие (Madness),24422,Oxxxymiron,Великобритания,иноагент,before,2021-11-12,0.0,0.17996329069137573,0.17996329069137573,1
